Make,Model,Vehicle Type,Vehicle Type NEW
DODG,RAM 550,INCOMPLETE VEHICLE,Refuse Truck
BMW,M 1000,MOTORCYCLE,Motorcycle
R-VISION,R-VISION,TRAILER,Other
INDIAN MOTORCYCLE,SCOUT ROGUE SIXTY,MOTORCYCLE,Motorcycle
BENTLEY,RT4D,PASSENGER CAR,Passenger Car
BAODIAO,6 LINES,MOTORCYCLE,Motorcycle
CHEV,CK31403,INCOMPLETE VEHICLE,School Bus
MOTO GUZZI,V11LAMAN,MOTORCYCLE,Motorcycle
LANCE,HAVANA,MOTORCYCLE,Motorcycle
TEYIN,TY50SRT,MOTORCYCLE,Motorcycle
FOSHAN FOSTI MOTORCYCLE MANUFACTURING CO.,FT50QT-E5/FT125T-E5/FT150T-E5,MOTORCYCLE,Motorcycle
YAMAHA,RZ500,MOTORCYCLE,Motorcycle
MERZ,MXCA,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
DODG,LEZR VAN,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
CHEV,T-SERIES,INCOMPLETE VEHICLE,Transit Bus
NEW WAVE,LMJR,MOTORCYCLE,Motorcycle
ACURA,NSX TYPE S,PASSENGER CAR,Passenger Car
BETA,2016,MOTORCYCLE,Motorcycle
QIPAI,90GY,MOTORCYCLE,Motorcycle
FORD,ENDERA,INCOMPLETE VEHICLE,Combination Long-haul Truck
YAMAHA,MTM890 (XSR900),MOTORCYCLE,Motorcycle
JAWA,350,MOTORCYCLE,Motorcycle
KYMCO,LIKE 50 / M50 / A-TOWN 50,MOTORCYCLE,Motorcycle
CHEVY,CUBEVAN,INCOMPLETE VEHICLE,Combination Short-haul Truck
TAIZHOU CHUANL MOTORCYCLE MANUFACTURING,LB250T-2,MOTORCYCLE,Motorcycle
TEYIN,ROMEO,MOTORCYCLE,Motorcycle
CFMOTO,CF650,MOTORCYCLE,Motorcycle
DAIX,PMZ50-16;PMZ50-17;PMZ50-4J;PMZ50-M1;PMZ50-M3;PMZ150-10;PMZ150- 11;PMZ150-15;PMZ150-17;PMZ150-3C,MOTORCYCLE,Motorcycle
LIEFAN,SABER,MOTORCYCLE,Motorcycle
FORD,SIERRA 3500HD,TRUCK,Passenger Truck
CHEVY,CARGO VN,INCOMPLETE VEHICLE,Light Commercial Truck
SUPERMACH,MP150,MOTORCYCLE,Motorcycle
CHEV,NEXBUS,INCOMPLETE VEHICLE,Motor Home
LAND ROVER,NEW RANGE ROVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GLOBAL MOTORSPORT GROUP,1200,MOTORCYCLE,Motorcycle
WRKH,SCHOOLBU,INCOMPLETE VEHICLE,Other Buses
WINN,SIGHTSEER,INCOMPLETE VEHICLE,Passenger Truck
"ULTRA MOTORCYCLE COMPANY, INC.",GROUNDPOUNDER,MOTORCYCLE,Motorcycle
ZNEN,150CCTE,MOTORCYCLE,Motorcycle
HONDA,CIVIC HF,PASSENGER CAR,Passenger Car
BORF,BF26VET,INCOMPLETE VEHICLE,Refuse Truck
TOYOTA,AVA4D,PASSENGER CAR,Passenger Car
DESPERADO,DESPERADO,MOTORCYCLE,Motorcycle
APRILIA,TUAREG,MOTORCYCLE,Motorcycle
FRRV,BKSR COACH BUS,INCOMPLETE VEHICLE,School Bus
KAWASAKI,KLX400,MOTORCYCLE,Motorcycle
KTMMEX,URBAN,MOTORCYCLE,Motorcycle
WRKH,SCBUS,INCOMPLETE VEHICLE,Single Unit Long-haul Truck
HONDA,X2R,MOTORCYCLE,Motorcycle
OSPREY CUSTOM 4X4,OC90,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
GLOBAL MOTORSPORT GROUP,ROAD KING,MOTORCYCLE,Motorcycle
DAIX,PST50-1;PST50-16;PST50-17;PST50-19N;PST50-1Z;PST50-2;PST150-10;PST150- 17;PST150-19N;PST150-2;PST150-8;PST150-9Z,MOTORCYCLE,Motorcycle
FERRARI,SF90 SPIDER,PASSENGER CAR,Passenger Car
CFMOTO,CF300,MOTORCYCLE,Motorcycle
MOTO GUZZI,V85TT GUARDIA D'ONOR,MOTORCYCLE,Motorcycle
PIERCE MANUFACTURING,VELOCITY,TRUCK,Combination Long-haul Truck
BMW,R NINE T,MOTORCYCLE,Motorcycle
CFMOTO,CF125,MOTORCYCLE,Motorcycle
FORD,TITAN,INCOMPLETE VEHICLE,Single Unit Short-haul Truck
GLOBAL MOTORSPORT GROUP,1600CC,MOTORCYCLE,Motorcycle
HONDA,C125,MOTORCYCLE,Motorcycle
HONDA,RUCKUS,MOTORCYCLE,Motorcycle
BUELL,ULYESSES,MOTORCYCLE,Motorcycle
BETA,200 RR,MOTORCYCLE,Motorcycle
EAGLE,YZFR3ANW,PASSENGER CAR,Passenger Car
GMC,C3,INCOMPLETE VEHICLE,Transit Bus
FORD,THOMAS BUS,INCOMPLETE VEHICLE,Combination Long-haul Truck
MOTO GUZZI,SCURA V 11,MOTORCYCLE,Motorcycle
INDIAN MOTORCYCLE,SCOUT ROGUE,MOTORCYCLE,Motorcycle
MUZ OF NORTH AMERICA,TRAVLLER,MOTORCYCLE,Motorcycle
HONDA,TRX500 (FOURTRAX FOREMAN),MOTORCYCLE,Motorcycle
JEEP,GRAND CHEROKEE,TRUCK,Combination Short-haul Truck
RIDLEY,AUTO GLIDE CLASSIC,MOTORCYCLE,Motorcycle
BUELL,XB12XULYS,MOTORCYCLE,Motorcycle
CHEV,COLLINS BUS,INCOMPLETE VEHICLE,Combination Short-haul Truck
HONDA,GL1800 GOLD WING,PASSENGER CAR,Passenger Car
HONDA,PCX,MOTORCYCLE,Motorcycle
CHEV,V20,INCOMPLETE VEHICLE,Light Commercial Truck
CALIFORNIA SCOOTER,CLAS150,MOTORCYCLE,Motorcycle
HONDA,GROM 125,MOTORCYCLE,Motorcycle
MOTO GUZZI,BASSA,MOTORCYCLE,Motorcycle
YAMAHA,XJ650LH,MOTORCYCLE,Motorcycle
THMS,C2,INCOMPLETE VEHICLE,Motor Home
BUELL,LIGHTNING LONG XB12SS,MOTORCYCLE,Motorcycle
GLOBAL MOTORSPORT GROUP,PAN/EVO,MOTORCYCLE,Motorcycle
YAMAHA,FJR1300ES (COBALT BLUE),MOTORCYCLE,Motorcycle
FORD,E-350 WAGON,INCOMPLETE VEHICLE,Other Buses
OLDSMOBILE,RAV4,PASSENGER CAR,Passenger Car
VOLKSWAGEN,MULTI,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
SUBARU,FORESTER AWD,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
CAKE,OSA LITE,MOTORCYCLE,Motorcycle
SUBARU,UT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,CIV/4DR,PASSENGER CAR,Passenger Car
MOTO GUZZI,V7 III SPECIAL (NERO ONICE),MOTORCYCLE,Motorcycle
"JIANGSU LVNENG ELECTRICAL BICYCLE TECHNOLOGY CO, LTD.",GENERGIA,MOTORCYCLE,Motorcycle
MOTO GUZZI,V85 TT TRAVEL E5 (SABBIA NAMIB),MOTORCYCLE,Motorcycle
HUCK CYCLES,REBEL,MOTORCYCLE,Motorcycle
MERCEDES-BENZ,GLB,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Car
HONDA,SXS1000S4 (TALON 1000X-4),MOTORCYCLE,Motorcycle
SUZUKI,GSX,MOTORCYCLE,Motorcycle
