Make,Model,Vehicle Type
GMC,BOX VAN,Light Commercial Truck
TURT,VAN TERRA,Light Commercial Truck
CHEV,ASTRO CARGO,Light Commercial Truck
FORD,F4D,Light Commercial Truck
DODG,RAMVAN,Light Commercial Truck
PREVOST,XL COACH,Other Buses
FORD,CB MEDIC,Light Commercial Truck
GMC,FORWARD CONTROL,Light Commercial Truck
FORD,FIREPMP,Light Commercial Truck
NAVI,3000,Light Commercial Truck
RAM,2500 PROMASTER,Light Commercial Truck
CHEV,K2PU,Light Commercial Truck
FORD,FB,Light Commercial Truck
FORD,TURTLE TOP,Light Commercial Truck
GMC,C7000,Single Unit Short-haul Truck
CHEVROLET,SILVERADO 1500,Passenger Truck
FORD,ODYSSEY,TRUCK
CHEV,C35,Light Commercial Truck
FORD,ELHART,Light Commercial Truck
GMC,C4500,Single Unit Short-haul Truck
BUIC,HEARSE,INCOMPLETE VEHICLE
FORD,E-350 ECONOLINE,INCOMPLETE VEHICLE
ISUZU,NPR132,INCOMPLETE VEHICLE
FORD,RANGER,INCOMPLETE VEHICLE
CHEV,C3PU,INCOMPLETE VEHICLE
CHEV,EXPRESS SPV,INCOMPLETE VEHICLE
CHEV,SCHOOLBU,INCOMPLETE VEHICLE
NDMC,UD2300,INCOMPLETE VEHICLE
DODG,SPRINTER,INCOMPLETE VEHICLE
DODG,VAN/CONV,INCOMPLETE VEHICLE
FORD,LOW CAB FORWARD,INCOMPLETE VEHICLE
CHEV,HD3500,INCOMPLETE VEHICLE
CHEV,STAR TRANS,INCOMPLETE VEHICLE
DODG,4500,INCOMPLETE VEHICLE
FORD,F700,INCOMPLETE VEHICLE
CHEV,CONVERSION VAN,INCOMPLETE VEHICLE
FORD,BUS CHASSIS,INCOMPLETE VEHICLE
SENAR,BUS,INCOMPLETE VEHICLE
GMC,F3500,INCOMPLETE VEHICLE
GMC,TRANS TECH,INCOMPLETE VEHICLE
361,BUS,INCOMPLETE VEHICLE
RAM,4500,INCOMPLETE VEHICLE
SAFA,24/MH,INCOMPLETE VEHICLE
CHEV,MICROBIRD,INCOMPLETE VEHICLE
CHEV,UTILITY,INCOMPLETE VEHICLE
ISUZU,K1PU,TRUCK
JAY,TL,INCOMPLETE VEHICLE
