Make,Model,Vehicle Type,Vehicle Type NEW
MINI,HARDTOP,PASSENGER CAR,Passenger Car
MINI,PACEMAN,PASSENGER CAR,Passenger Car
MITSUBISHI,3000 GT,PASSENGER CAR,Passenger Car
MITSUBISHI,ECLIPSE,PASSENGER CAR,Passenger Car
MITSUBISHI,ENDEAVOR,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MITSUBISHI,GALANT,PASSENGER CAR,Passenger Car
MITSUBISHI,LANCER,PASSENGER CAR,Passenger Car
MITSUBISHI,LANCER EVOLUTION,PASSENGER CAR,Passenger Car
MITSUBISHI,MIRAGE,PASSENGER CAR,Passenger Car
MITSUBISHI,MIRAGE G4,PASSENGER CAR,Passenger Car
MITSUBISHI,MONTERO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MITSUBISHI,MONTERO SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MITSUBISHI,OUTLANDER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MITSUBISHI,OUTLANDER SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MITSUBISHI,RAIDER,TRUCK,Single Unit Short-haul Truck
NISSAN,240SX,PASSENGER CAR,Passenger Car
NISSAN,350Z,PASSENGER CAR,Passenger Car
NISSAN,370Z,PASSENGER CAR,Passenger Car
NISSAN,ALTIMA,PASSENGER CAR,Passenger Car
NISSAN,ARMADA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
NISSAN,FRONTIER,TRUCK,Single Unit Short-haul Truck
NISSAN,JUKE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
NISSAN,MAXIMA,PASSENGER CAR,Passenger Car
NISSAN,MURANO,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
NISSAN,NV,BUS,Transit Bus
NISSAN,NV,TRUCK,Single Unit Short-haul Truck
NISSAN,PATHFINDER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
NISSAN,PICKUP,TRUCK,Single Unit Short-haul Truck
NISSAN,QUEST,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
NISSAN,ROGUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SAAB,900,PASSENGER CAR,Passenger Car
NISSAN,ROGUE SPORT,PASSENGER CAR,Passenger Car
NISSAN,SENTRA,PASSENGER CAR,Passenger Car
NISSAN,TITAN,TRUCK,Single Unit Short-haul Truck
NISSAN,VERSA NOTE,PASSENGER CAR,Passenger Car
NISSAN,XTERRA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
OLDSMOBILE,ALERO,PASSENGER CAR,Passenger Car
OLDSMOBILE,BRAVADA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
OLDSMOBILE,EIGHTY EIGHT (88),PASSENGER CAR,Passenger Car
OLDSMOBILE,INTRIGUE,PASSENGER CAR,Passenger Car
PIAGGIO AND VESPA,BV,MOTORCYCLE,Motorcycle
PLYMOUTH,BREEZE,PASSENGER CAR,Passenger Car
PLYMOUTH,GRAND VOYAGER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PLYMOUTH,NEON,PASSENGER CAR,Passenger Car
PLYMOUTH,VOYAGER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PONTIAC,AZTEK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PONTIAC,BONNEVILLE,PASSENGER CAR,Passenger Car
PONTIAC,FIREBIRD,PASSENGER CAR,Passenger Car
PONTIAC,G6,PASSENGER CAR,Passenger Car
PONTIAC,GRAND AM,PASSENGER CAR,Passenger Car
PONTIAC,GRAND PRIX,PASSENGER CAR,Passenger Car
PONTIAC,GTO,PASSENGER CAR,Passenger Car
PONTIAC,MONTANA/ SV6,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PONTIAC,SUNFIRE,PASSENGER CAR,Passenger Car
PONTIAC,TORRENT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PONTIAC,VIBE,PASSENGER CAR,Passenger Car
PORSCHE,718 BOXSTER,PASSENGER CAR,Passenger Car
PORSCHE,718 CAYMAN,PASSENGER CAR,Passenger Car
PORSCHE,911,PASSENGER CAR,Passenger Car
PORSCHE,BOXSTER,PASSENGER CAR,Passenger Car
PORSCHE,CAYENNE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
PORSCHE,MACAN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
RAM,1500,TRUCK,Single Unit Short-haul Truck
RAM,2500,TRUCK,Single Unit Short-haul Truck
RAM,3500,TRUCK,Single Unit Short-haul Truck
RAM,PROMASTER 3500,TRUCK,Single Unit Short-haul Truck
SAAB,9-2X,PASSENGER CAR,Passenger Car
SAAB,9-3,PASSENGER CAR,Passenger Car
SAAB,9-5,PASSENGER CAR,Passenger Car
SATURN,AURA,PASSENGER CAR,Passenger Car
SATURN,ION,PASSENGER CAR,Passenger Car
SATURN,L300,PASSENGER CAR,Passenger Car
SATURN,LS1,PASSENGER CAR,Passenger Car
SATURN,SC2,PASSENGER CAR,Passenger Car
SATURN,SL,PASSENGER CAR,Passenger Car
SATURN,SL1,PASSENGER CAR,Passenger Car
SATURN,SL2,PASSENGER CAR,Passenger Car
SATURN,SW2,PASSENGER CAR,Passenger Car
SATURN,VUE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SMART,FORTWO,PASSENGER CAR,Passenger Car
SPRINTER (DODGE OR FREIGHTLINER),SPRINTER,TRUCK,Single Unit Short-haul Truck
SUBARU,ASCENT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUBARU,B9 TRIBECA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUBARU,BAJA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUBARU,BRZ,PASSENGER CAR,Passenger Car
SUBARU,CROSSTREK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUBARU,FORESTER,PASSENGER CAR,Passenger Car
SUBARU,FORESTER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUBARU,IMPREZA,PASSENGER CAR,Passenger Car
SUBARU,LEGACY,PASSENGER CAR,Passenger Car
SUBARU,OUTBACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
MAZDA,MAZDA5,PASSENGER CAR,Passenger Car
SUBARU,SVX,PASSENGER CAR,Passenger Car
SUBARU,WRX,PASSENGER CAR,Passenger Car
SUBARU,XV CROSSTREK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,DR-Z400SML,MOTORCYCLE,Motorcycle
SUZUKI,ESTEEM,PASSENGER CAR,Passenger Car
SUZUKI,FORENZA,PASSENGER CAR,Passenger Car
SUZUKI,GRAND VITARA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,GRAND VITARA XL-7,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,GSX750F,MOTORCYCLE,Motorcycle
SUZUKI,GZ250,MOTORCYCLE,Motorcycle
SUZUKI,RENO,PASSENGER CAR,Passenger Car
SUZUKI,SAMURAI,TRUCK,Single Unit Short-haul Truck
SUZUKI,SIDEKICK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,SIDEKICK SPORT,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,SX4,PASSENGER CAR,Passenger Car
SUZUKI,VITARA,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SUZUKI,VL800,MOTORCYCLE,Motorcycle
SUZUKI,XL7,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Truck
SYM,BASE,MOTORCYCLE,Motorcycle
TESLA,MODEL S,PASSENGER CAR,Passenger Car
TESLA,MODEL X,PASSENGER CAR,Passenger Car
TOYOTA,4-RUNNER,TRUCK,Single Unit Short-haul Truck
