Record Type,Make,Body Type
VEH,HADA,MCY
VEH,MC,MCY
VEH,HARL,MCY
VEH,HARLE,MCY
VEH,HA/DA,????
VEH,HA/HA,MCY
VEH,HD,MCY
VEH,YAMAH,ATV
VEH,HONDA,ATV
VEH,HONDA,MCY
VEH,AUSTI,2DSD
VEH,AUTOC,FLAT
VEH,AHEAL,CONV
VEH,VOLKS,H/WH
VEH,VOLKS,4DSD
VEH,VILKS,4DSD
VEH,VOLKS,SEDN
VEH,VW,4DSD
VEH,TOYOT,PICK
VEH,MICHI,UTIL
VEH,FORD,TANK
VEH,FORD,RD/S
VEH,JOHNS,RD/S
VEH,FORD,EMVR
VEH,MASFE,RBM
VEH,MA/FE,RBM
VEH,MASSE,4DSD
VEH,HARLO,SWT
VEH,MA/FE,TR/C
VEH,MA/FE,TRAC
VEH,MF,TRAC
VEH,MA/FE,SN/P
VEH,CROWN,SWT
VEH,MASSE,TRAC
VEH,MA/FE,P/SH
VEH,MASFE,TRAC
VEH,CATER,TR/C
VEH,DE/EL,2DSD
VEH,TOMOS,MOPD
VEH,AUBUR,CONV
VEH,DODGE,TRAC
VEH,DNEPR,MCY
VEH,AHREN,FIRE
VEH,STUD,PICK
VEH,OSKOS,SN/P
VEH,COOPE,2DSD
VEH,BROCE,RD/S
VEH,LAFER,2DSD
VEH,GR/PA,4DSD
VEH,MAX,ATV
VEH,STUDE,SUBN
VEH,NORTO,MCY
VEH,JAGUA,CONV
VEH,JAGU,2DSD
VEH,FEDER,FIRE
VEH,OSHK,SN/P
VEH,YALE,SWT
VEH,GRIPA,4DSD
VEH,PLYMO,SUBN
VEH,PLYMO,PICK
VEH,KOMAT,RBM
VEH,PLYMO,VAN
VEH,PONTI,4DSD
VEH,PONTI,CONV
VEH,OLDMS,CONV
VEH,OLDM,2DSD
VEH,OLDS,4DSD
VEH,OLDS,SEDN
VEH,PONT,CONV
VEH,STUD,CONV
VEH,CHERV,PICK
VEH,INTL,SUBN
VEH,IHC,SUBN
VEH,INTER,SUBN
VEH,GLASS,CONV
VEH,BROCK,STAK
VEH,BROCK,UTIL
VEH,GRAHM,4DSD
VEH,AMGN,FLAT
VEH,AMGN,UTIL
VEH,JACUA,CONV
VEH,JAQUA,CONV
VEH,JAGUR,CONV
VEH,GRADA,EMVR
VEH,PEUGE,MOPD
VEH,AL/RO,2DSD
VEH,JO/DE,RBM
VEH,MGB,2DSD
VEH,VOLVO,RBM
VEH,FORD,BUS
VEH,CHRYS,SUBN
VEH,TEREX,P/SH
VEH,SKYJA,SWT
VEH,NEWHO,TRAC
VEH,NE/HO,P/SH
VEH,JEEP,UTIL
VEH,KAISE,SUBN
VEH,JEEP,SEDN
VEH,KAISE,CONV
VEH,CARTE,RBM
VEH,CATE,RBM
VEH,CATER,SWT
VEH,FOR,PICK
VEH,IN/RA,R/RD
VEH,GROVE,TR/C
