Record Type,Make,Body Type,Vehicle Category
VEH,MA/FE,TR/C,Refuse Truck
VEH,MA/FE,TRAC,Passenger Car
VEH,MF,TRAC,Passenger Car
VEH,MA/FE,SN/P,Other Buses
VEH,CROWN,SWT,Single Unit Long-haul Truck
VEH,MASSE,TRAC,Passenger Car
VEH,MA/FE,P/SH,Motor Home
VEH,MASFE,TRAC,Passenger Car
VEH,CATER,TR/C,Refuse Truck
VEH,DE/EL,2DSD,Other Buses
VEH,TOMOS,MOPD,Light Commercial Truck
VEH,AUBUR,CONV,Light Commercial Truck
VEH,DODGE,TRAC,Passenger Car
VEH,DNEPR,MCY,Motorcycle
VEH,AHREN,FIRE,Light Commercial Truck
VEH,STUD,PICK,Passenger Truck
VEH,OSKOS,SN/P,Other Buses
VEH,COOPE,2DSD,Other Buses
VEH,BROCE,RD/S,School Bus
VEH,LAFER,2DSD,Other Buses
VEH,GR/PA,4DSD,Combination Long-haul Truck
VEH,MAX,ATV,Refuse Truck
VEH,STUDE,SUBN,Combination Short-haul Truck
VEH,NORTO,MCY,Motorcycle
VEH,JAGUA,CONV,Light Commercial Truck
VEH,JAGU,2DSD,Other Buses
VEH,FEDER,FIRE,Light Commercial Truck
VEH,OSHK,SN/P,Other Buses
VEH,YALE,SWT,Single Unit Long-haul Truck
VEH,GRIPA,4DSD,Combination Long-haul Truck
VEH,PLYMO,SUBN,Combination Short-haul Truck
VEH,PLYMO,PICK,Passenger Truck
VEH,KOMAT,RBM,Single Unit Short-haul Truck
VEH,PLYMO,VAN,Motor Home
VEH,PONTI,4DSD,Combination Long-haul Truck
VEH,PONTI,CONV,Light Commercial Truck
VEH,OLDMS,CONV,Light Commercial Truck
VEH,OLDM,2DSD,Other Buses
VEH,OLDS,4DSD,Combination Long-haul Truck
VEH,OLDS,SEDN,Single Unit Long-haul Truck
VEH,PONT,CONV,Light Commercial Truck
VEH,STUD,CONV,Light Commercial Truck
VEH,CHERV,PICK,Passenger Truck
VEH,INTL,SUBN,Combination Short-haul Truck
VEH,IHC,SUBN,Combination Short-haul Truck
VEH,INTER,SUBN,Combination Short-haul Truck
VEH,GLASS,CONV,Light Commercial Truck
VEH,BROCK,STAK,Combination Long-haul Truck
VEH,BROCK,UTIL,Transit Bus
VEH,GRAHM,4DSD,Combination Long-haul Truck
VEH,AMGN,FLAT,Combination Short-haul Truck
VEH,AMGN,UTIL,Transit Bus
VEH,JACUA,CONV,Light Commercial Truck
VEH,JAQUA,CONV,Light Commercial Truck
VEH,JAGUR,CONV,Light Commercial Truck
VEH,GRADA,EMVR,Passenger Car
VEH,PEUGE,MOPD,Light Commercial Truck
VEH,AL/RO,2DSD,Other Buses
VEH,JO/DE,RBM,Single Unit Short-haul Truck
VEH,MGB,2DSD,Other Buses
VEH,VOLVO,RBM,Single Unit Short-haul Truck
VEH,FORD,BUS,Passenger Car
VEH,CHRYS,SUBN,Combination Short-haul Truck
VEH,TEREX,P/SH,Motor Home
